Date,Realized,Implied,Error
2023-08-18,35.93282532,45.25,0.205904413
2023-08-19,35.99999427,43.06,0.163957402
2023-08-20,35.93418099,42.36,0.151695444
2023-08-21,36.02352082,43.91,0.179605538
2023-08-22,36.67712175,44.2,0.170200865
2023-08-23,37.49890838,43.28,0.133574206
2023-08-24,37.54373648,48.47,0.225423221
2023-08-25,37.63867071,42.77,0.119974966
2023-08-26,37.82350026,43.12,0.122831627
2023-08-27,37.76337788,43.76,0.137034326
2023-08-28,37.84585639,43.19,0.123735671
2023-08-29,38.21239124,44.86,0.148185661
2023-08-30,38.27790201,41.38,0.074966119
2023-08-31,38.36806763,41.52,0.075913593
2023-09-01,38.58963409,38.13,0.012054395
2023-09-02,38.57395401,38.23,0.008996966
2023-09-03,38.54005924,40.36,0.045092685
2023-09-04,38.62625525,40.31,0.041769902
2023-09-05,38.69974759,39.68,0.024703942
2023-09-06,38.75251047,39.86,0.027784484
2023-09-07,39.2640898,40.42,0.028597481
2023-09-08,39.54100424,40.54,0.024642224
2023-09-09,33.5024533,39.01,0.141182945
2023-09-10,33.05048436,41.71,0.207612458
2023-09-11,34.14125176,44.53,0.233297737
2023-09-12,35.00891528,41.78,0.162065216
2023-09-13,35.09145291,42.09,0.166275768
2023-09-14,34.26392082,42.39,0.191698023
2023-09-24,31.03413904,37.45,0.17131805
2023-09-25,31.10190291,37.73,0.175671802
2023-09-26,31.65718866,38.05,0.168010811
2023-09-27,31.87608731,37.63,0.152907592
2023-09-28,31.95426666,39.81,0.197330654
2023-09-29,31.67277104,37.79,0.161874278
2023-09-30,32.27091613,37.11,0.13039838
2023-10-01,32.43053478,38.07,0.148134101
2023-10-02,33.17021832,42.18,0.213603169
2023-10-03,35.63060083,38.62,0.077405468
2023-10-04,37.13473847,38.39,0.032697617
2023-10-05,36.82291846,37.6,0.020667062
2023-10-06,37.69724586,37.15,0.01473071
2023-10-07,38.08237295,36.96,0.030367233
2023-10-08,37.92246597,36.67,0.034155058
2023-10-09,38.0692013,40.01,0.04850784
2023-10-10,38.52161241,38.93,0.010490305
2023-10-11,38.43900566,38.87,0.011088097
2023-10-12,38.84897824,41.19,0.056834711
2023-10-13,39.01218864,38.36,0.017001789
2023-10-14,38.94630053,39.09,0.003676118
2023-10-15,39.03037721,38.29,0.019336046
2023-10-16,39.91836846,37.64,0.060530512
2023-10-17,40.18065934,37.79,0.063261692
2023-10-18,40.58356941,36.5,0.111878614
2023-10-19,40.67271618,36.99,0.099559778
2023-10-20,43.12505438,39.68,0.086820927
2023-10-21,43.18602798,42.57,0.014470941
2023-10-22,43.48064438,41.98,0.03574665
2023-10-23,43.58780923,46.71,0.06684202
2023-10-24,43.48126291,54.01,0.194940513
2023-10-25,43.9017707,54.56,0.195348777
2023-10-26,44.16558137,54.19,0.184986504
2023-10-27,45.12341619,48.19,0.063635273
2023-10-28,45.43697299,48.23,0.057910574
2023-10-29,45.33344569,50.11,0.095321379
2023-10-30,45.61685678,53.96,0.154617183
2023-10-31,46.32738944,53.62,0.136005419
2023-11-01,47.04986943,55.47,0.151796116
2023-11-02,47.42670501,60.62,0.21763931
2023-11-03,47.46895255,59.47,0.201800024
2023-11-04,47.66093843,60.28,0.209340769
2023-11-05,47.49336837,65.52,0.27513174
2023-11-06,47.80521433,63.69,0.249407845
2023-11-07,48.20157413,56.56,0.147779807
2023-11-08,48.2936021,59.39,0.1868395
2023-11-09,48.33567336,66.34,0.271394734
2023-11-10,48.35154428,67.1,0.279410666
2023-11-11,48.74229649,65.04,0.250579697
2023-11-12,48.73354725,62.11,0.215367135
2023-11-13,48.82967347,67.53,0.2769188
2023-11-14,48.86278001,66.53,0.265552683
2023-11-15,48.07885762,65.16,0.262141534
2023-11-16,46.68744064,67.11,0.304314698
2023-11-17,47.2719462,59.32,0.203102728
2023-11-18,46.53997568,58.67,0.206750031
2023-11-19,46.2622082,59.89,0.227547033
2023-11-20,46.50433859,62.79,0.259367119
2023-11-21,48.54498051,60.71,0.200379171
2023-11-22,48.66033962,55.76,0.12732533
2023-11-23,49.21096794,56.88,0.134828271
2023-11-24,49.27019326,57.18,0.138331702
2023-11-25,49.27393141,57.78,0.147214756
2023-11-26,49.19037243,56.51,0.129528005
2023-11-27,49.39935239,54.89,0.100030017
2023-11-28,49.46236365,53.71,0.079084646
2023-11-29,50.19385756,52.77,0.048818314
2023-11-30,50.566709,52.78,0.041934274
2023-12-01,50.97971367,55.19,0.076287123
2023-12-02,49.2346629,54.65,0.099091255
2023-12-03,49.1520565,60.11,0.182298178
2023-12-04,48.7694368,59.19,0.176052766
2023-12-05,48.83305407,58.52,0.165532227
2023-12-06,48.4535798,59.9,0.191092157
2023-12-07,48.43473147,61.59,0.213594229
2023-12-08,48.52940822,61.32,0.208587602
2023-12-09,48.64118169,62.41,0.220618784
2023-12-10,48.32524318,60.65,0.203211159
2023-12-11,48.31117818,63.59,0.240270826
2023-12-12,48.48437095,62.47,0.223877526
2023-12-13,48.36342809,61.46,0.213090985
2023-12-14,49.32643954,62.11,0.205821292
2023-12-15,49.23993137,59.54,0.172994099
2023-12-16,49.54349178,59.94,0.173448586
2023-12-17,49.28818817,61.06,0.192790891
2023-12-18,49.64261142,62.04,0.199828958
2023-12-19,50.35147333,62.41,0.193214656
2023-12-20,51.65202033,62.67,0.175809473
2023-12-21,54.02161707,62.45,0.134962097
2023-12-22,55.49173301,65.36,0.150983277
2023-12-23,56.73053118,64.5,0.120456881
2023-12-24,56.47839063,66.11,0.145690658
2023-12-25,56.58905585,64.17,0.118138447
2023-12-26,56.54226357,64.17,0.11886764
2023-12-27,56.50214564,70.82,0.202172471
2023-12-28,55.73436839,70.69,0.211566439
2023-12-29,55.90148882,70.88,0.21132211
2023-12-30,55.65025345,73.25,0.240269578
2023-12-31,55.37416906,71.7,0.227696387
2024-01-01,55.24249391,70.38,0.215082496
2024-01-02,55.69824861,72.14,0.227914491
2024-01-03,55.36992178,72.26,0.233740357
2024-01-04,55.24361202,73.14,0.244686737
2024-01-05,54.92973132,72.99,0.247434836
2024-01-06,54.89308572,76.7,0.284314397
2024-01-07,54.6805627,76.72,0.287271081
2024-01-08,54.79183528,73.6,0.255545716
2024-01-09,54.88716547,69.97,0.215561448
2024-01-10,54.56655953,73.29,0.255470603
2024-01-11,54.29647479,70.07,0.225110963
2024-01-12,54.0224007,65.06,0.169652618
2024-01-13,53.73779272,65.76,0.182819454
2024-01-14,53.09956283,66.15,0.19728552
2024-01-15,53.12748896,64.5,0.176318001
2024-01-16,53.11471296,61.7,0.139145657
2024-01-17,53.11368245,58.68,0.094858854
2024-01-18,52.94681887,49.2,0.076154855
2024-01-19,52.14451329,49.71,0.048974317
2024-01-20,52.12669429,47.43,0.099023704
2024-01-21,51.2713516,45.64,0.123386319
2024-01-22,51.21469203,48.02,0.066528364
2024-01-23,52.08131373,53.75,0.031045326
2024-01-24,52.18144184,48.69,0.071707575
2024-01-25,52.32588387,49.12,0.065266365
2024-01-26,51.31293845,46.33,0.107553172
2024-01-27,51.42772484,45.34,0.134268303
2024-01-28,51.16283607,48.11,0.063455333
2024-01-29,51.40703752,47.5,0.082253421
2024-01-30,51.48035219,50.47,0.020018866
2024-01-31,51.89084371,49.64,0.045343346
2024-02-01,50.99698657,47.23,0.079758344
2024-02-02,48.99304304,46.42,0.055429622
2024-02-03,47.61765009,44.87,0.061235794
2024-02-04,46.28258723,44.33,0.044046633
2024-02-05,46.38630467,45.39,0.021949872
2024-02-06,46.69931346,45.46,0.027261625
2024-02-07,47.04909351,46.14,0.019702937
2024-02-08,48.56055239,48.82,0.005314371
2024-02-09,49.94752288,51.86,0.036877692
2024-02-10,50.07917717,52.48,0.045747386
2024-02-11,49.57861069,54.18,0.08492782
2024-02-12,49.91132602,57.01,0.124516295
2024-02-13,50.601085,59.93,0.155663524
2024-02-14,56.48220233,63.07,0.104452159
2024-02-15,57.52310124,65.08,0.116117068
2024-02-16,57.8678886,62.09,0.067999861
2024-02-17,58.21090775,62.58,0.069816111
2024-02-18,57.940963,63.54,0.088118303
2024-02-19,58.31161328,65.32,0.107293122
2024-02-20,59.18568591,62.99,0.060395524
2024-02-21,59.44938374,62.9,0.054858764
2024-02-22,59.46582081,64.44,0.077190863
2024-02-23,59.86806862,60.67,0.013217923
2024-02-24,62.76672538,62.26,0.008138859
2024-02-25,63.21920737,64.42,0.018640059
2024-02-26,64.63774363,64.88,0.003733914
2024-02-27,65.21620177,65.62,0.006153585
2024-02-28,67.93188899,72.76,0.066356666
2024-02-29,71.55952348,74.77,0.04293803
2024-03-01,72.16116362,69.17,0.043243655
2024-03-02,73.25503233,70.7,0.036139071
2024-03-03,73.38751433,78.58,0.066078973
2024-03-04,73.63354826,77.92,0.055010931
2024-03-05,74.20845977,81.1,0.084975835
2024-03-06,73.78093004,84.43,0.126128982
2024-03-07,73.87846374,79.13,0.066365933
2024-03-08,73.62005704,78.89,0.066801153
2024-03-09,73.36460293,78.89,0.070039258
2024-03-10,73.14093487,82.46,0.113013159
2024-03-11,73.15145488,86.7,0.156269263
2024-03-12,73.73823611,77.41,0.047432682
2024-03-13,74.61383126,76.35,0.022739604
2024-03-14,74.06154106,73.13,0.012738152
2024-03-15,73.96136266,76.96,0.038963583
2024-03-16,73.74104122,75.19,0.019270632
2024-03-17,73.5147673,77.83,0.055444336
2024-03-18,73.52753293,77.32,0.049048979
2024-03-19,74.31783015,81.99,0.093574459
2024-03-20,74.25120084,85.78,0.134399617
2024-03-21,74.60943673,79.33,0.059505399
2024-03-22,73.73729806,79.91,0.077245676
2024-03-23,74.17066626,79.52,0.067270293
2024-03-24,77.99502571,80.94,0.036384659
2024-03-25,79.23212904,81.17,0.023874226
2024-03-26,80.36485268,80.38,0.000188446
2024-03-27,80.72466897,79.41,0.016555459
2024-03-28,76.99197575,81.73,0.057971666
2024-03-29,75.43030486,80.79,0.066341071
2024-03-30,76.58361386,79.78,0.040065006
2024-03-31,76.46552735,82.02,0.067720954
2024-04-01,76.53273063,80.31,0.047033612
2024-04-02,76.48416558,79.78,0.041311537
2024-04-03,75.85371432,79.62,0.047303262
2024-04-04,75.87481941,74.7,0.015727167
2024-04-05,75.99136144,75.03,0.012813027
2024-04-06,75.43196916,74.42,0.013598081
2024-04-07,73.50523998,78.78,0.066955573
2024-04-08,73.26800428,81.99,0.106378775
2024-04-09,72.68409164,79.66,0.087571031
2024-04-10,73.41769964,75.94,0.033214384
2024-04-11,72.38338218,73.38,0.0135816
2024-04-12,69.04320735,71.32,0.031923621
2024-04-13,68.6960567,71.23,0.035574102
2024-04-14,67.83228857,82.12,0.17398577
2024-04-15,67.54494343,74.91,0.098318737
2024-04-16,67.76771374,79.05,0.142723419
2024-04-17,67.56108297,77.57,0.129030773
2024-04-18,67.62677687,76.84,0.119901394
2024-04-19,67.4400874,78.56,0.141546749
2024-04-20,67.82990585,75.93,0.106678443
2024-04-21,67.47349448,78.15,0.136615554
2024-04-22,67.41835581,77.28,0.127609267
2024-04-23,67.71965755,75.76,0.106129124
2024-04-24,66.92361292,70.58,0.051804861
2024-04-25,66.02250354,66.03,0.000113531
2024-04-26,65.79585325,67.27,0.021913881
2024-04-27,65.93290533,68.56,0.038318184
2024-04-28,65.53863174,65.41,0.001966545
2024-04-29,65.50370183,64.16,0.020942984
2024-04-30,71.85793305,75.25,0.045077302
2024-05-01,71.5126913,73.91,0.032435512
2024-05-02,71.52236486,68.84,0.038965207
2024-05-03,72.1462329,67.21,0.073444917
2024-05-04,72.38657575,72.43,0.000599534
2024-05-05,71.02200646,72.78,0.024154899
2024-05-06,66.6761146,71.7,0.070068137
2024-05-07,65.40704473,67.55,0.031723986
2024-05-08,64.08731586,66,0.028980063
2024-05-09,63.21720389,65.16,0.029815778
2024-05-10,62.65021166,65.32,0.040872449
2024-05-11,62.46429412,63.34,0.01382548
2024-05-12,60.43721899,66.63,0.092942834
2024-05-13,60.06931537,67.45,0.109424531
2024-05-14,60.20148767,66.49,0.094578317
2024-05-15,59.96396179,65.76,0.088139267
2024-05-16,59.94172602,65.4,0.083459847
2024-05-17,59.46045255,68.27,0.129039805
2024-05-18,59.37076842,67.01,0.114001367
2024-05-19,59.14840655,69.03,0.143149261
2024-05-20,58.25171688,72.4,0.195418275
2024-05-21,58.02623482,81.14,0.28486277
2024-05-22,57.65711443,81.41,0.291768647
2024-05-23,56.95769072,81.34,0.299757921
2024-05-24,55.46339861,68.69,0.192554977
2024-05-25,55.89204398,69.91,0.200514319
2024-05-26,55.43041711,72.88,0.239428964
2024-05-27,55.06413934,71.78,0.232876298
2024-05-28,55.28475388,69.93,0.209427229
2024-05-29,55.15171747,70.06,0.212793071
2024-05-30,54.76780669,68.88,0.204880855
2024-05-31,54.69706179,68.81,0.205100105
2024-06-01,55.01446591,70.93,0.224383675
2024-06-02,54.2097206,70.66,0.232808936
2024-06-03,54.29281649,69.48,0.218583528
2024-06-04,55.0863049,68.61,0.197109679
2024-06-05,54.82794713,70.15,0.21841843
2024-06-06,54.9940921,66.37,0.171401355
2024-06-07,54.69007797,64.34,0.149983246
2024-06-08,54.7857534,64.14,0.145841076
2024-06-09,54.05718107,64.79,0.165655486
2024-06-10,54.15171541,64.79,0.164196397
2024-06-11,54.5043141,66.63,0.18198538
2024-06-12,45.61005349,67.09,0.320166143
2024-06-13,45.11143881,62.88,0.282578899
2024-06-14,45.93122437,60.46,0.24030393
2024-06-15,48.16878061,64.94,0.258257151
2024-06-16,47.46355414,65.81,0.278778998
2024-06-17,47.83188028,64.74,0.261169597
2024-06-18,50.16914982,66.86,0.2496388
2024-06-19,50.15146875,68.76,0.270630181
2024-06-20,50.10662589,68.95,0.273290415
2024-06-21,50.50170766,64.67,0.219086011
2024-06-22,50.41685932,64.96,0.223878397
2024-06-23,50.30111707,66.95,0.248676369
2024-06-24,50.60323565,66.38,0.237673461
2024-06-25,51.1643101,64.96,0.212372074
2024-06-26,51.4606372,62.82,0.180823986
2024-06-27,51.63469283,62.88,0.178837582
