"Date";"BitVol® Bitcoin Volatility Index"
"2019-01-08 00:00:00";78.29
"2019-01-09 00:00:00";76.46
"2019-01-10 00:00:00";77.78
"2019-01-11 00:00:00";78.22
"2019-01-14 00:00:00";76.62
"2019-01-15 00:00:00";78.64
"2019-01-16 00:00:00";77.16
"2019-01-17 00:00:00";77.16
"2019-01-18 00:00:00";74.13
"2019-01-22 00:00:00";65.74
"2019-01-23 00:00:00";69.54
"2019-01-24 00:00:00";70.9
"2019-01-25 00:00:00";63.35
"2019-01-28 00:00:00";66.93
"2019-01-29 00:00:00";68.18
"2019-01-30 00:00:00";69.45
"2019-01-31 00:00:00";66.75
"2019-02-01 00:00:00";66.42
"2019-02-04 00:00:00";68.67
"2019-02-05 00:00:00";68.63
"2019-02-06 00:00:00";62.72
"2019-02-07 00:00:00";59.68
"2019-02-08 00:00:00";59.63
"2019-02-11 00:00:00";60.49
"2019-02-12 00:00:00";60.41
"2019-02-13 00:00:00";57.01
"2019-02-14 00:00:00";57.36
"2019-02-15 00:00:00";56.68
"2019-02-19 00:00:00";62.08
"2019-02-20 00:00:00";59.42
"2019-02-21 00:00:00";59.42
"2019-02-22 00:00:00";56.52
"2019-02-25 00:00:00";62.83
"2019-02-26 00:00:00";60.47
"2019-02-27 00:00:00";58.32
"2019-02-28 00:00:00";58.67
"2019-03-01 00:00:00";54.87
"2019-03-04 00:00:00";58.71
"2019-03-05 00:00:00";58.44
"2019-03-06 00:00:00";56.74
"2019-03-07 00:00:00";52.98
"2019-03-08 00:00:00";49.52
"2019-03-11 00:00:00";50.63
"2019-03-12 00:00:00";50.32
"2019-03-13 00:00:00";50.79
"2019-03-14 00:00:00";50.79
"2019-03-15 00:00:00";50.81
"2019-03-18 00:00:00";50.29
"2019-03-19 00:00:00";48.79
"2019-03-20 00:00:00";46.75
"2019-03-21 00:00:00";46.71
"2019-03-22 00:00:00";46.8
"2019-03-25 00:00:00";46.65
"2019-03-26 00:00:00";45.98
"2019-03-27 00:00:00";45.4
"2019-03-28 00:00:00";44.84
"2019-03-29 00:00:00";45.2
"2019-04-01 00:00:00";49.65
"2019-04-02 00:00:00";67.39
"2019-04-03 00:00:00";74.05
"2019-04-04 00:00:00";77.32
"2019-04-05 00:00:00";73.4
"2019-04-08 00:00:00";74.32
"2019-04-09 00:00:00";73.15
"2019-04-10 00:00:00";73.15
"2019-04-11 00:00:00";66.27
"2019-04-12 00:00:00";65.05
"2019-04-15 00:00:00";65.05
"2019-04-16 00:00:00";59.62
"2019-04-17 00:00:00";56.83
"2019-04-18 00:00:00";55.51
"2019-04-22 00:00:00";58.06
"2019-04-23 00:00:00";58.06
"2019-04-24 00:00:00";62.63
"2019-04-25 00:00:00";61.02
"2019-04-26 00:00:00";61.22
"2019-04-29 00:00:00";63.99
"2019-04-30 00:00:00";64.19
"2019-05-01 00:00:00";62.35
"2019-05-02 00:00:00";60.67
"2019-05-03 00:00:00";60.73
"2019-05-06 00:00:00";67.11
"2019-05-07 00:00:00";69.48
"2019-05-08 00:00:00";71.39
"2019-05-09 00:00:00";70.28
"2019-05-10 00:00:00";69.26
"2019-05-13 00:00:00";91.11
"2019-05-14 00:00:00";114.41
"2019-05-15 00:00:00";114.34
"2019-05-16 00:00:00";112.61
"2019-05-17 00:00:00";109.56
"2019-05-20 00:00:00";117.82
"2019-05-21 00:00:00";117.73
"2019-05-22 00:00:00";106.15
"2019-05-23 00:00:00";104.02
"2019-05-24 00:00:00";103.23
"2019-05-28 00:00:00";111.99
"2019-05-29 00:00:00";106.71
"2019-05-30 00:00:00";102.96
"2019-05-31 00:00:00";101.96
"2019-06-03 00:00:00";96.33
"2019-06-04 00:00:00";92.93
"2019-06-05 00:00:00";92.03
"2019-06-06 00:00:00";90.48
"2019-06-07 00:00:00";84.46
"2019-06-10 00:00:00";83.88
"2019-06-11 00:00:00";82.1
"2019-06-12 00:00:00";81.25
"2019-06-13 00:00:00";80.58
"2019-06-14 00:00:00";80.79
"2019-06-17 00:00:00";83.09
"2019-06-18 00:00:00";96.89
"2019-06-19 00:00:00";94.35
"2019-06-20 00:00:00";93.46
"2019-06-21 00:00:00";97.67
"2019-06-24 00:00:00";109.84
"2019-06-25 00:00:00";106.37
"2019-06-26 00:00:00";110.19
"2019-06-27 00:00:00";121.19
"2019-06-28 00:00:00";135.71
"2019-07-01 00:00:00";111.19
"2019-07-02 00:00:00";112.84
"2019-07-03 00:00:00";120.81
"2019-07-05 00:00:00";115.04
"2019-07-08 00:00:00";109.29
"2019-07-09 00:00:00";109.61
"2019-07-10 00:00:00";113.53
"2019-07-11 00:00:00";115.05
"2019-07-12 00:00:00";112.86
"2019-07-15 00:00:00";124.2
"2019-07-16 00:00:00";125.35
"2019-07-17 00:00:00";129.37
"2019-07-18 00:00:00";125.43
"2019-07-19 00:00:00";130.47
"2019-07-22 00:00:00";120.66
"2019-07-23 00:00:00";118.41
"2019-07-24 00:00:00";121.1
"2019-07-25 00:00:00";119.58
"2019-07-26 00:00:00";117.26
"2019-07-29 00:00:00";119.89
"2019-07-30 00:00:00";117.96
"2019-07-31 00:00:00";117.09
"2019-08-01 00:00:00";108.83
"2019-08-02 00:00:00";106.23
"2019-08-05 00:00:00";110.47
"2019-08-06 00:00:00";111.93
"2019-08-07 00:00:00";112.04
"2019-08-08 00:00:00";110.03
"2019-08-09 00:00:00";103.8
"2019-08-12 00:00:00";101.34
"2019-08-13 00:00:00";98.73
"2019-08-14 00:00:00";97.47
"2019-08-15 00:00:00";95.44
"2019-08-16 00:00:00";98.28
"2019-08-19 00:00:00";103.79
"2019-08-20 00:00:00";100.03
"2019-08-21 00:00:00";97.19
"2019-08-22 00:00:00";96.95
