[('2023-8-18', 0.3593282531555412),
 ('2023-8-19', 0.359999942693994),
 ('2023-8-20', 0.35934180991257236),
 ('2023-8-21', 0.36023520817091076),
 ('2023-8-22', 0.36677121748243235),
 ('2023-8-23', 0.3749890837833258),
 ('2023-8-24', 0.37543736476864353),
 ('2023-8-25', 0.37638670714422984),
 ('2023-8-26', 0.3782350026103947),
 ('2023-8-27', 0.37763377877406445),
 ('2023-8-28', 0.3784585638769748),
 ('2023-8-29', 0.38212391235678783),
 ('2023-8-30', 0.38277902008575565),
 ('2023-8-31', 0.38368067632645886),
 ('2023-9-1', 0.38589634087044167),
 ('2023-9-2', 0.3857395400870574),
 ('2023-9-3', 0.3854005923687684),
 ('2023-9-4', 0.3862625524663505),
 ('2023-9-5', 0.38699747586093236),
 ('2023-9-6', 0.387525104739179),
 ('2023-9-7', 0.39264089802699614),
 ('2023-9-8', 0.39541004244207556),
 ('2023-9-9', 0.3350245330491632),
 ('2023-9-10', 0.3305048435761759),
 ('2023-9-11', 0.34141251762409236),
 ('2023-9-12', 0.35008915275355984),
 ('2023-9-13', 0.35091452913486254),
 ('2023-9-14', 0.3426392081683137),
 ('2023-9-24', 0.31034139038690406),
 ('2023-9-25', 0.3110190290641708),
 ('2023-9-26', 0.3165718865983248),
 ('2023-9-27', 0.31876087309116946),
 ('2023-9-28', 0.3195426665543414),
 ('2023-9-29', 0.31672771038731073),
 ('2023-9-30', 0.32270916132362215),
 ('2023-10-1', 0.3243053478145789),
 ('2023-10-2', 0.3317021832116329),
 ('2023-10-3', 0.3563060082654951),
 ('2023-10-4', 0.3713473846892634),
 ('2023-10-5', 0.3682291845586961),
 ('2023-10-6', 0.3769724586008857),
 ('2023-10-7', 0.38082372946033194),
 ('2023-10-8', 0.37922465970205116),
 ('2023-10-9', 0.38069201303801875),
 ('2023-10-10', 0.38521612409793277),
 ('2023-10-11', 0.38439005657096476),
 ('2023-10-12', 0.38848978244252913),
 ('2023-10-13', 0.3901218863622477),
 ('2023-10-14', 0.3894630053067312),
 ('2023-10-15', 0.3903037720513458),
 ('2023-10-16', 0.39918368455485803),
 ('2023-10-17', 0.4018065933848472),
 ('2023-10-18', 0.4058356940889196),
 ('2023-10-19', 0.4067271618192293),
 ('2023-10-20', 0.4312505437549558),
 ('2023-10-21', 0.43186027976042346),
 ('2023-10-22', 0.43480644382377925),
 ('2023-10-23', 0.43587809228796687),
 ('2023-10-24', 0.4348126290593248),
 ('2023-10-25', 0.43901770702682474),
 ('2023-10-26', 0.44165581373865187),
 ('2023-10-27', 0.4512341619372352),
 ('2023-10-28', 0.45436972993067404),
 ('2023-10-29', 0.45333445694165747),
 ('2023-10-30', 0.45616856781671544),
 ('2023-10-31', 0.4632738943911086),
 ('2023-11-1', 0.47049869427322544),
 ('2023-11-2', 0.4742670501389342),
 ('2023-11-3', 0.47468952549253673),
 ('2023-11-4', 0.47660938427125876),
 ('2023-11-5', 0.4749336836777695),
 ('2023-11-6', 0.47805214330579326),
 ('2023-11-7', 0.48201574130586605),
 ('2023-11-8', 0.48293602098739213),
 ('2023-11-9', 0.4833567335758736),
 ('2023-11-10', 0.48351544284764353),
 ('2023-11-11', 0.4874229648801526),
 ('2023-11-12', 0.4873354725486915),
